id,duration,country
tt0013404,68,USA
tt0013428,128,Germany
tt0013442,94,Germany
tt0013450,98,USA
tt0013469,79,Germany
tt0013496,125,Germany
tt0013515,125,USA
tt0013556,143,USA
tt0013571,72,USA
tt0013579,90,Germany
tt0013592,70,USA
tt0013597,85,USA
tt0013607,58,USA
tt0013619,150,Germany
tt0013626,54,France
tt0013662,137,USA
tt0013674,58,USA
tt0013688,54,USA
tt0013704,60,USA
tt0013705,97,UK
tt0013741,100,Germany
tt0013750,120,USA
tt0013802,54,USA
tt0013830,128,Germany
tt0013909,70,USA
tt0013933,87,France
tt0013951,98,USA
tt0014029,68,USA
tt0014108,101,Sweden
tt0014109,183,Sweden
tt0014112,84,USA
tt0014142,133,USA
tt0014205,110,USA
tt0014341,65,USA
tt0014358,47,USA
tt0014397,135,Germany
tt0014416,90,USA
tt0014417,418,France
tt0014429,74,USA
tt0014440,124,USA
tt0014446,80,Germany
tt0014463,96,USA
tt0014497,90,USA
tt0014516,74,Germany
tt0014524,66,Germany
tt0014532,136,USA
tt0014538,63,USA
tt0014586,65,Germany
tt0014604,100,USA
tt0014605,143,USA
tt0014606,86,USA
tt0014611,63,USA
tt0014624,82,USA
tt0014636,84,USA
tt0014646,111,Soviet Union
tt0014672,141,USA
tt0014702,135,USA
tt0014721,80,USA
tt0014760,64,USA
tt0014770,87,USA
tt0014854,135,USA
tt0014869,70,USA
tt0014874,70,USA
tt0014898,71,France
tt0014900,80,Germany
tt0014925,76,USA
tt0014945,87,USA
tt0014972,95,USA
tt0014982,70,USA
tt0015002,60,USA
tt0015014,135,France
tt0015016,150,USA
tt0015018,115,USA
tt0015022,153,USA
tt0015036,136,France
tt0015064,77,Germany
tt0015116,75,USA
tt0015119,85,USA
tt0015136,93,Germany
tt0015145,106,USA
tt0015163,59,USA
tt0015167,94,Soviet Union
tt0015174,129,Germany
tt0015175,143,Germany
tt0015202,92,Austria
tt0015213,78,Soviet Union
tt0015224,105,USA
tt0015268,81,USA
tt0015289,106,USA
tt0015310,123,USA
tt0015312,108,USA
tt0015324,45,USA
tt0015361,82,Soviet Union
tt0015400,155,USA
tt0015493,82,UK
tt0015498,88,USA
tt0015500,72,USA
tt0015518,74,USA
tt0015532,81,Germany
tt0015624,151,USA
tt0015634,102,USA
tt0015643,71,USA
tt0015648,75,Soviet Union
tt0015684,71,USA
tt0015687,74,USA
tt0015693,70,USA
tt0015758,111,USA
tt0015768,111,Denmark
tt0015772,73,USA
tt0015794,90,France
tt0015801,170,France
tt0015841,77,USA
tt0015842,125,Germany
tt0015861,115,Norway
tt0015863,69,USA
tt0015864,95,USA
tt0015872,80,USA
tt0015881,140,USA
tt0015883,113,France
tt0015909,70,USA
tt0015935,65,Chile
tt0016004,120,USA
tt0016005,70,USA
tt0016006,96,USA
tt0016013,80,USA
tt0016023,70,USA
tt0016028,94,USA
tt0016029,81,USA
tt0016039,106,USA
tt0016104,137,USA
tt0016123,86,USA
tt0016185,74,Japan
tt0016201,70,USA
tt0016205,78,USA
tt0016220,93,USA
tt0016226,73,USA
tt0016230,75,UK
tt0016232,108,France
tt0016240,97,India
tt0016241,74,USA
tt0016258,68,USA
tt0016276,77,USA
tt0016288,56,USA
tt0016294,107,USA
tt0016308,104,USA
tt0016309,58,USA
tt0016310,70,USA
tt0016332,56,USA
tt0016338,98,UK
tt0016377,88,USA
tt0016392,80,Austria
tt0016394,70,USA
tt0016395,110,USA
tt0016461,78,USA
tt0016473,86,USA
