id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0050682,6.5,179,0,0,7.2,4,6.7,29,6.4,142
tt0050691,6.7,123,0,0,6.6,5,6.7,48,6.7,68
tt0050692,5,116,0,0,5.4,8,5.4,34,4.9,73
tt0050698,6.8,128,0,0,6.8,18,6.8,44,6.8,61
tt0050699,7.2,1723,0,0,7.3,122,7.3,549,7.2,1025
tt0050704,6.7,306,0,0,8.6,13,6.8,72,6.5,217
tt0050706,7.8,11623,7.7,3,7.9,2040,7.7,5558,7.8,3681
tt0050707,5.9,99,0,0,7,1,5.6,15,6,83
tt0050709,7.5,856,0,0,7.3,75,7.5,329,7.5,430
tt0050710,6.8,242,0,0,8.2,7,7.5,58,6.4,173
tt0050717,2.4,1647,1,1,2.1,204,2.2,846,2.7,555
tt0050718,4.4,166,0,0,4.3,15,4.5,63,4.5,85
tt0050719,7.1,202,0,0,7.4,11,7,43,7.1,143
tt0050720,6.4,1862,4,2,6.1,100,6.2,558,6.6,1164
tt0050721,6.6,267,0,0,7,7,6.8,108,6.4,146
tt0050722,5.8,1625,0,0,6.1,121,5.7,489,5.8,979
tt0050723,3.4,560,3,1,3.2,34,3.5,194,3.4,322
tt0050724,5.9,202,0,0,2.5,2,5.7,51,6,145
tt0050737,6.1,348,0,0,6.4,7,6.1,81,6.1,250
tt0050738,6.1,377,0,0,6.7,5,6.5,91,6,274
tt0050740,6.4,94,0,0,6.4,5,6.3,44,6.6,43
tt0050746,7.3,677,0,0,7.3,41,7.2,278,7.4,347
tt0050749,6.9,1055,0,0,6.8,39,6.7,305,7,691
tt0050757,7,92,0,0,7.6,18,7.7,47,4.2,22
tt0050758,8,697,0,0,8.3,200,8,394,6,71
tt0050760,7.1,154,0,0,6.8,22,7.8,87,5.4,41
tt0050762,7.3,1090,6.5,2,7.2,173,7.3,583,7.2,312
tt0050763,6.6,2363,8,1,6.8,136,6.5,767,6.7,1407
tt0050766,7.5,8003,6.5,2,7.5,768,7.4,3555,7.6,3479
tt0050767,5.2,269,0,0,5.6,7,5.4,57,5.2,200
