id,votes,rating,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0049777,1396,7.5,0,0,7.6,45,7.3,234,7.5,777
tt0049778,6891,7.5,7,1,7.6,572,7.6,2445,7.5,2478
tt0049782,4057,6.3,5.8,6,6.3,531,6.2,1291,6.3,1337
tt0049783,1269,7.6,0,0,7.3,156,7.6,541,7.8,358
tt0049784,2419,7.9,0,0,8.1,309,7.9,902,7.8,682
tt0049787,690,6.8,0,0,7,25,6.7,120,6.8,384
tt0049793,430,6.1,0,0,6.1,17,6.1,111,6.2,228
tt0049794,1030,7.2,0,0,7.2,156,7.3,499,6.9,161
tt0049796,233,6.5,0,0,6.4,14,6.3,63,6.4,108
tt0049800,1059,6.8,0,0,6.7,36,6.6,239,6.6,585
tt0049801,390,6.4,0,0,6,10,6.2,89,6.4,221
tt0049808,153,6.6,0,0,7.3,11,6.5,40,6.7,59
tt0049815,2134,6.5,8,1,6.4,183,6.4,608,6.5,844
tt0049828,130,6.3,0,0,4.7,8,6.5,40,6.6,58
tt0049829,2108,7.3,0,0,7.8,129,7.3,556,7.1,994
tt0049830,2987,6.8,9,1,6.9,148,6.8,740,6.8,1387
tt0049831,269,6.1,5,1,4.6,8,5.9,56,6.3,143
tt0049833,58637,7.8,7.7,28,7.8,6622,7.7,22233,8,15144
tt0049834,471,6.6,0,0,5.7,9,6.5,60,6.7,293
tt0049839,431,7.3,0,0,7.8,30,7.5,160,7,153
tt0049841,261,6.6,0,0,5,4,6.5,40,6.7,154
tt0049843,2254,7.5,0,0,8,241,7.6,697,7.4,932
tt0049844,831,6.8,0,0,6.9,27,6.7,149,6.9,452
tt0049845,537,7.1,0,0,7.2,10,7,86,7.1,331
tt0049846,130,5.8,0,0,6.5,2,5.9,18,5.7,84
tt0049847,320,5.5,0,0,6.8,13,5.5,57,5.4,183
tt0049849,1129,6.3,0,0,6.8,49,6.2,293,6.3,565
tt0049851,112,4.8,0,0,3.5,4,4.5,16,4.8,65
tt0049854,157,6.4,0,0,6.3,3,6.1,28,6.6,91
tt0049856,1000,6.8,0,0,6.8,40,6.9,247,6.8,516
tt0049857,518,6.7,0,0,7.1,18,6.4,103,6.8,308
tt0049865,398,7.3,0,0,7.3,50,7.4,131,6.6,114
tt0049866,1414,7.8,0,0,7.9,205,7.8,519,7.3,328
tt0049867,262,6.6,0,0,7.1,25,6.4,111,6.7,74
tt0049868,105,5.5,0,0,9,1,5.5,15,5.4,68
tt0049870,496,6.5,0,0,6.5,6,6.3,60,6.5,325
tt0049871,1259,7.2,0,0,7.2,55,7,210,7.2,737
tt0049872,488,6.3,0,0,6.3,14,6.2,112,6.4,276
tt0049873,125,6.5,0,0,10,1,8,4,6.6,74
tt0049875,3882,6.8,0,0,6.8,145,6.8,913,6.8,1958
tt0049876,250,6.4,0,0,7,22,6.2,69,6.5,98
tt0049877,3104,7.4,0,0,7.4,324,7.4,1211,7.3,949
tt0049881,1235,6.6,0,0,6.6,26,6.5,262,6.7,679
tt0049889,121,7,0,0,7,17,7.5,49,5.9,38
tt0049900,742,4.4,10,1,4.8,40,4.3,203,4.4,363
tt0049902,16568,8.3,7.7,9,8.3,3511,8.3,6714,8.1,3239
tt0049904,314,6.4,0,0,8.2,5,6.6,61,6.3,180
tt0049905,103,6.7,0,0,6.3,6,6.7,21,6.7,55
tt0049906,564,6.7,8,1,7.3,46,6.6,159,6.6,249
tt0049909,190,5.3,0,0,5.7,12,5.4,27,5.3,102
tt0049917,1133,7.6,10,1,7.4,172,7.6,528,7.6,221
tt0049921,107,5.1,0,0,6.4,10,5.2,43,4.4,36
tt0049922,1208,3.1,0,0,2.8,99,3,462,3.6,384
tt0049932,174,5,0,0,4.5,5,5,71,5.1,81
tt0049933,665,6.7,0,0,7.1,14,6.6,107,6.6,366
tt0049934,8388,6.8,7.6,5,6.8,1051,6.7,2956,6.8,2668
tt0049944,1132,6,4,1,6,34,5.8,272,6.1,579
tt0049945,258,5.8,0,0,5.4,16,5.2,58,6,124
tt0049948,104,6.2,0,0,8,1,5.7,14,6.3,64
tt0049949,5000,7,0,0,7.1,325,6.9,1710,7,1983
tt0049951,174,5.7,0,0,5.5,5,5.9,28,5.7,120
tt0049955,219,6.2,0,0,8.9,14,6.2,50,6.1,120
tt0049961,170,6.5,0,0,7.8,7,6.6,49,5.8,76
tt0049964,1653,5.9,0,0,5.7,52,5.7,393,6,915
tt0049965,142,6.8,0,0,8.9,6,6.9,34,5.8,57
tt0049966,9263,7.4,8.5,2,7.6,1217,7.4,3541,7.3,2672
tt0049967,2374,6.1,5,1,5.9,105,6,670,6.3,1124
tt0049968,132,3.8,0,0,3.2,9,3.7,52,4.3,54
tt0049973,431,6,0,0,7.4,14,5.8,87,6,252
tt0049976,141,7.1,0,0,7.3,15,7.2,37,6.8,62
tt0049979,104,6.8,0,0,6.4,15,7.2,39,6.6,29
tt0049988,104,4.1,5,1,5.1,8,3.8,45,3.6,27
tt0050083,617540,8.9,9.3,725,9.1,166074,8.9,216577,8.7,60541
tt0050084,5933,6.4,5,4,6.4,423,6.2,1808,6.5,2431
tt0050085,1030,6.2,4,1,6.3,24,6,218,6.2,591
tt0050086,17029,7.6,7.5,5,7.6,2085,7.6,6818,7.6,5165
tt0050087,517,6.2,0,0,6.7,10,5.8,96,6.4,317
tt0050091,1371,7.5,0,0,7.8,56,7.4,259,7.6,739
tt0050095,3244,6.4,6,1,6.4,205,6.4,1041,6.4,1320
tt0050096,130,5.9,0,0,9,2,5,16,5.8,78
tt0050097,572,7.2,0,0,7.1,17,7.3,102,7.2,339
tt0050099,269,5,0,0,6.1,10,5,61,5.1,134
tt0050100,1182,7,7,1,6.9,33,7,225,7.1,695
tt0050103,132,5.7,0,0,4.5,4,5.4,29,6,81
tt0050105,26139,7.5,8.4,7,7.7,3510,7.4,9604,7.6,7290
tt0050108,154,5.3,0,0,5.1,6,5.5,37,5.2,83
tt0050112,1062,7.1,0,0,6.6,42,6.9,135,7.2,580
tt0050118,2137,4.5,5,2,3.7,100,3.9,601,4.9,897
tt0050123,1002,7.4,0,0,7.9,123,7.4,321,7.3,374
tt0050126,1644,6.8,0,0,7.4,107,7.1,506,6.5,728
tt0050128,200,5.4,4,1,5.9,15,5.2,62,5.5,96
tt0050135,595,6.3,0,0,5.4,19,6,100,6.4,328
tt0050136,131,6.9,0,0,7,7,7.3,49,6.2,52
tt0050139,110,6.7,0,0,6.4,6,6.7,33,6.5,41
tt0050140,259,5.8,0,0,4.6,11,5.8,38,5.8,161
tt0050142,258,7,0,0,7.4,14,7.1,72,7,129
tt0050143,735,3.6,5,1,3.9,36,3.2,220,3.8,334
tt0050146,482,5.9,0,0,6,44,6,169,5.7,180
tt0050147,2577,4.8,5.7,3,4.6,243,4.7,807,4.9,1017
tt0050152,428,6.4,0,0,7.3,12,6.3,122,6.5,206
tt0050155,512,6.5,0,0,6.3,20,6.4,105,6.6,296
tt0050156,572,6.7,0,0,6.9,17,6.8,114,6.7,311
tt0050157,114,5.2,0,0,4,3,5.5,22,5.3,62
tt0050158,126,5.9,0,0,4,1,6.4,13,5.9,81
tt0050161,105,7.3,0,0,7.6,15,7.8,29,6.5,46
tt0050162,575,7.4,7,1,7.7,66,7.6,237,6.8,164
tt0050166,1924,6.6,0,0,6.3,81,6.2,428,6.8,988
tt0050168,814,6.9,0,0,7.3,16,7.1,120,6.9,467
tt0050169,422,6.5,0,0,6.7,11,6.3,56,6.6,267
tt0050171,921,6.4,0,0,6.7,38,6.2,180,6.3,516
tt0050173,146,5.3,0,0,6,2,5.1,31,5.4,78
tt0050174,188,6.4,0,0,8,2,6.5,29,6.5,127
tt0050175,327,6.8,0,0,0,0,6.9,23,6.9,215
tt0050177,2058,3.7,7,1,3,141,3.2,679,4.3,815
tt0050179,340,6.8,0,0,7.4,9,6.5,96,6.9,151
tt0050181,165,6.4,0,0,6.8,15,6.5,46,6.2,64
tt0050182,295,6.6,0,0,6.7,25,6.4,114,6.6,94
tt0050184,205,5.8,0,0,0,0,5.9,24,5.8,130
tt0050188,7867,8.1,6.5,4,8.4,2049,8,2969,7.1,642
tt0050189,227,5.6,0,0,5.6,5,5.4,45,5.8,132
tt0050190,247,6.5,0,0,5.4,5,6.3,49,6.6,162
tt0050192,429,6.4,0,0,6.1,13,6.3,62,6.5,269
tt0050193,587,5.6,0,0,5.9,32,5.5,161,5.7,285
tt0050196,123,5.9,0,0,6,2,5.8,26,5.9,72
tt0050197,2352,5.3,6,1,5.2,155,5.1,693,5.5,1040
tt0050201,801,4.3,0,0,4.1,47,4.4,206,4.3,377
tt0050204,659,5.8,0,0,6,8,5.6,96,6,406
tt0050206,113,7,0,0,8.1,9,7.1,41,6.5,47
tt0050208,1257,6.2,0,0,6.1,43,6.1,222,6.3,710
tt0050210,1318,5.3,2,1,5.7,59,5.3,397,5.2,567
tt0050212,190049,8.1,8.4,81,8.2,24730,8.1,72550,8.3,42313
tt0050213,708,6.8,0,0,7.6,19,6.8,170,6.8,383
tt0050214,277,6.6,0,0,7,6,6.1,41,6.7,175
tt0050218,228,5.3,0,0,5.9,18,4.4,36,5.5,129
tt0050219,110,6.9,0,0,7,3,7.4,32,5.9,47
tt0050225,583,6.3,0,0,6.2,21,6,89,6.4,336
tt0050230,124,4.5,0,0,4.5,2,4.2,26,4.7,65
tt0050231,300,7.2,0,0,6.8,35,7.3,121,7,106
tt0050233,1161,7,0,0,6.9,39,6.8,211,7.2,645
tt0050235,332,5.4,0,0,4.7,12,5.5,79,5.4,173
tt0050237,589,7.5,0,0,7.2,39,7.4,219,7.6,230
