year,nomination,film,win
1943,Best Performance by an Actress in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,TRUE
1943,Best Performance by an Actor in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,TRUE
1943,Best Director - Motion Picture,The Song Of Bernadette,TRUE
1943,Picture,The Song Of Bernadette,TRUE
1943,Actress In A Leading Role,The Song Of Bernadette,TRUE
1943,Actor In A Leading Role,Watch On The Rhine,TRUE
1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mrs. Parkington,TRUE
1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,Going My Way,TRUE
1944,Best Director - Motion Picture,Going My Way,TRUE
1944,Picture,Going My Way,TRUE
1944,Actress In A Leading Role,Gaslight,TRUE
1944,Actor In A Leading Role,Wilson,TRUE
1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Picture of Dorian Gray,TRUE
1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,A Medal For Benny,TRUE
1945,Best Director - Motion Picture,The Lost Weekend,TRUE
1945,Promoting International Understanding,The House I Live In,TRUE
1945,Picture,The Lost Weekend,TRUE
1945,Actress In A Leading Role,The Bells of St. Mary's,TRUE
1945,Actor In A Leading Role,The Lost Weekend,TRUE
1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Razor's Edge,TRUE
1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Razor's Edge,TRUE
1946,Best Director - Motion Picture,It's A Wonderful Life,TRUE
1946,Promoting International Understanding,The Last Chance,TRUE
1946,Special Achievement Award,The Best Years Of Our Lives,FALSE
1946,Picture,The Best Years Of Our Lives,TRUE
1946,Actress In A Leading Role,Sister Kenny,TRUE
1946,Actor In A Leading Role,The Yearling,TRUE
1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gentleman's Agreement,TRUE
1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,Miracle On 34th Street,TRUE
1947,Best Director - Motion Picture,Gentleman's Agreement,TRUE
1947,Best Screenplay - Motion Picture,Miracle On 34th Street,TRUE
1947,Best Original Score - Motion Picture,Life With Father,TRUE
1947,Special Achievement Award,Bambi,FALSE
1947,New Star Of The Year - Actress,That Hagen Girl,TRUE
1947,New Star Of The Year - Actor,Kiss Of Death,TRUE
1947,Picture,Gentleman's Agreement,TRUE
1947,Juvenile Performance,Gentleman's Agreement,TRUE
1947,Actress In A Leading Role,Mourning Becomes Electra,TRUE
1947,Actor In A Leading Role,A Double Life,TRUE
1947,Cinematography,Black Narcissus,TRUE
1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,I Remember Mama,TRUE
1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Treasure of the Sierra Madre,TRUE
1948,Best Director - Motion Picture,The Treasure of the Sierra Madre,TRUE
1948,Best Screenplay - Motion Picture,The Search,TRUE
1948,Best Original Score - Motion Picture,The Red Shoes,TRUE
1948,Promoting International Understanding,The Search,TRUE
1948,Picture,Johnny Belinda,TRUE
1948,Picture,The Treasure of the Sierra Madre,TRUE
1948,Juvenile Performance,The Search,TRUE
1948,Actress In A Leading Role,Johnny Belinda,TRUE
1948,Actor In A Leading Role,Hamlet (1948),TRUE
1948,Foreign Film - English Language,Hamlet (1948),TRUE
1948,Cinematography,The Pearl,TRUE
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,All The King's Men,TRUE
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Heiress,FALSE
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Battleground,TRUE
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Intruder In The Dust,FALSE
1949,Best Director - Motion Picture,All The King's Men,TRUE
1949,Best Director - Motion Picture,The Heiress,FALSE
1949,Best Screenplay - Motion Picture,Battleground,TRUE
1949,Best Screenplay - Motion Picture,Rope of Sand,FALSE
1949,Best Motion Picture - Foreign Language,"Italy, Vittorio De Sica",TRUE
1949,Best Motion Picture - Foreign Language,"United Kingdom, Carol Reed",FALSE
1949,Best Original Score - Motion Picture,The Inspector General,TRUE
1949,Best Original Score - Motion Picture,All The King's Men,FALSE
1949,Promoting International Understanding,The Hasty Heart,TRUE
1949,Promoting International Understanding,Monsieur Vincent,FALSE
1949,New Star Of The Year - Actress,All The King's Men,TRUE
1949,New Star Of The Year - Actress,Champion,FALSE
1949,New Star Of The Year - Actor,The Hasty Heart,TRUE
1949,New Star Of The Year - Actor,Intruder In The Dust,FALSE
1949,Outstanding Use Of Color,The Adventures of Ichabod and Mr. Toad,TRUE
1949,Outstanding Use Of Color,On The Town,FALSE
1949,Picture,All The King's Men,TRUE
1949,Picture,Come To The Stable,FALSE
1949,Actress In A Leading Role,The Heiress,TRUE
1949,Actress In A Leading Role,"Edward, My Son",FALSE
1949,Actor In A Leading Role,All The King's Men,TRUE
1949,Actor In A Leading Role,The Hasty Heart,FALSE
1949,Cinematography,Champion,TRUE
1949,Cinematography,All The King's Men,FALSE
1950,Best Performance by an Actress in a Motion Picture - Drama,Sunset Boulevard,TRUE
1950,Best Performance by an Actress in a Motion Picture - Drama,All About Eve,FALSE
1950,Best Performance by an Actress in a Motion Picture - Drama,Born Yesterday,FALSE
1950,Best Performance by an Actor in a Motion Picture - Drama,Cyrano de Bergerac (1950),TRUE
1950,Best Performance by an Actor in a Motion Picture - Drama,The Magnificent Yankee,FALSE
1950,Best Performance by an Actor in a Motion Picture - Drama,Harvey,FALSE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Three Little Words,TRUE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,When Willie Comes Marching Home,FALSE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Sin Of Harold Diddlebock,FALSE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Harvey,TRUE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adam's Rib,FALSE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,All About Eve,FALSE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mister 880,TRUE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sunset Boulevard,FALSE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,All About Eve,FALSE
1950,Best Director - Motion Picture,Sunset Boulevard,TRUE
1950,Best Director - Motion Picture,Born Yesterday,FALSE
1950,Best Director - Motion Picture,The Asphalt Jungle,FALSE
1950,Best Director - Motion Picture,All About Eve,FALSE
1950,Best Screenplay - Motion Picture,All About Eve,TRUE
1950,Best Screenplay - Motion Picture,Sunset Boulevard,FALSE
1950,Best Screenplay - Motion Picture,The Asphalt Jungle,FALSE
1950,Best Original Score - Motion Picture,Sunset Boulevard,TRUE
1950,Best Original Score - Motion Picture,Destination Moon,FALSE
1950,Best Original Score - Motion Picture,A Life Of Her Own,FALSE
1950,Promoting International Understanding,Broken Arrow,TRUE
1950,Promoting International Understanding,The Big Lift,FALSE
1950,Promoting International Understanding,The Next Voice You Hear...,FALSE
1950,New Star Of The Year,Tea For Two,TRUE
1950,New Star Of The Year,Cyrano de Bergerac (1950),FALSE
1950,New Star Of The Year,Three Little Words,FALSE
1950,Picture,Sunset Boulevard,TRUE
1950,Picture,Born Yesterday,FALSE
1950,Picture,Cyrano de Bergerac (1950),FALSE
1950,Actress In A Leading Role - Musical Or Comedy,Born Yesterday,TRUE
1950,Actress In A Leading Role - Musical Or Comedy,Louisa,FALSE
1950,Actress In A Leading Role - Musical Or Comedy,Annie Get Your Gun,FALSE
1950,Henrietta Award (World Film Favorites),,TRUE
1950,Henrietta Award (World Film Favorites),,TRUE
1950,Cinematography - Color,King Solomon's Mines,TRUE
1950,Cinematography - Color,Broken Arrow,FALSE
1950,Cinematography - Color,Samson and Delilah,FALSE
1950,Cinematography - Black And White,Cyrano de Bergerac (1950),TRUE
1950,Cinematography - Black And White,The Asphalt Jungle,FALSE
1950,Cinematography - Black And White,Sunset Boulevard,FALSE
1951,Best Motion Picture - Drama,A Place In The Sun,TRUE
1951,Best Motion Picture - Drama,Quo Vadis?,FALSE
1951,Best Motion Picture - Drama,A Streetcar Named Desire (1951),FALSE
1951,Best Motion Picture - Drama,Bright Victory,FALSE
1951,Best Motion Picture - Drama,Detective Story,FALSE
1951,Best Motion Picture - Musical or Comedy,An American In Paris,TRUE
1951,Best Performance by an Actress in a Motion Picture - Drama,The Blue Veil,TRUE
1951,Best Performance by an Actress in a Motion Picture - Drama,A Streetcar Named Desire (1951),FALSE
1951,Best Performance by an Actress in a Motion Picture - Drama,A Place In The Sun,FALSE
1951,Best Performance by an Actor in a Motion Picture - Drama,Death of a Salesman (1951),TRUE
1951,Best Performance by an Actor in a Motion Picture - Drama,Detective Story,FALSE
1951,Best Performance by an Actor in a Motion Picture - Drama,Bright Victory,FALSE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,On The Riviera,TRUE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Here Comes The Groom,FALSE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,An American In Paris,FALSE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,A Streetcar Named Desire (1951),TRUE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,Detective Story,FALSE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Mating Season, The",FALSE
1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,Quo Vadis?,TRUE
1951,Best Director - Motion Picture,Death of a Salesman (1951),TRUE
1951,Best Director - Motion Picture,An American In Paris,FALSE
1951,Best Director - Motion Picture,A Place In The Sun,FALSE
1951,Best Screenplay - Motion Picture,Bright Victory,TRUE
1951,Best Original Score - Motion Picture,September Affair,TRUE
1951,Best Original Score - Motion Picture,The Day The Earth Stood Still,FALSE
1951,Best Original Score - Motion Picture,The Well,FALSE
1951,Promoting International Understanding,The Day The Earth Stood Still,TRUE
1951,Special Achievement Award,Pictura,FALSE
1951,New Star Of The Year - Actress,Teresa,TRUE
1951,New Star Of The Year - Actor,Death of a Salesman (1951),TRUE
1951,Actress In A Leading Role - Musical Or Comedy,Too Young To Kiss,TRUE
1951,Henrietta Award (World Film Favorite),,TRUE
1951,Henrietta Award (World Film Favorite),,TRUE
1951,Cinematography - Color,Quo Vadis?,TRUE
1951,Cinematography - Black And White,Death of a Salesman (1951),TRUE
1951,Cinematography - Black And White,Decision Before Dawn,FALSE
1951,Cinematography - Black And White,A Place In The Sun,FALSE
1952,Best Motion Picture - Drama,The Greatest Show On Earth,TRUE
1952,Best Motion Picture - Drama,"Come Back, Little Sheba",FALSE
1952,Best Motion Picture - Drama,The Happy Time,FALSE
1952,Best Motion Picture - Drama,High Noon,FALSE
1952,Best Motion Picture - Drama,The Thief,FALSE
1952,Best Motion Picture - Musical or Comedy,With a Song in My Heart,TRUE
1952,Best Motion Picture - Musical or Comedy,Hans Christian Andersen,FALSE
1952,Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,FALSE
1952,Best Motion Picture - Musical or Comedy,Singin' in the Rain,FALSE
1952,Best Motion Picture - Musical or Comedy,Star and Stripes Forever,FALSE
1952,Best Performance by an Actress in a Motion Picture - Drama,"Come Back, Little Sheba",TRUE
1952,Best Performance by an Actress in a Motion Picture - Drama,Sudden Fear,FALSE
1952,Best Performance by an Actress in a Motion Picture - Drama,My Cousin Rachel,FALSE
1952,Best Performance by an Actor in a Motion Picture - Drama,High Noon,TRUE
1952,Best Performance by an Actor in a Motion Picture - Drama,The Happy Time,FALSE
1952,Best Performance by an Actor in a Motion Picture - Drama,The Thief,FALSE
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Singin' in the Rain,TRUE
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hans Christian Andersen,FALSE
1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Stars and Stripes Forever,FALSE
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,High Noon,TRUE
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viva Zapata!,FALSE
1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Bad and The Beautiful, The",FALSE
1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,My Six Convicts,TRUE
1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Happy Time,FALSE
1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Bad and The Beautiful, The",FALSE
1952,Best Director - Motion Picture,The Greatest Show On Earth,TRUE
1952,Best Director - Motion Picture,The Happy Time,FALSE
1952,Best Director - Motion Picture,The Quiet Man,FALSE
1952,Best Screenplay - Motion Picture,5 Fingers,TRUE
1952,Best Screenplay - Motion Picture,The Thief,FALSE
1952,Best Screenplay - Motion Picture,High Noon,FALSE
1952,Best Original Score - Motion Picture,High Noon,TRUE
1952,Best Original Score - Motion Picture,Ivanhoe,FALSE
1952,Best Original Score - Motion Picture,The Quiet Man,FALSE
1952,Cecil B. deMille Award,,FALSE
1952,Cecil B. deMille Award,,FALSE
1952,Cecil B. deMille Award,,FALSE
1952,Promoting International Understanding,Anything Can Happen,TRUE
1952,Promoting International Understanding,Assignment: Paris,FALSE
1952,Promoting International Understanding,Ivanhoe,FALSE
1952,Special Achievement Award,Navajo,FALSE
1952,New Star Of The Year - Actress,Moulin Rouge,TRUE
1952,New Star Of The Year - Actress,The Thief,FALSE
1952,New Star Of The Year - Actress,High Noon,FALSE
1952,New Star Of The Year - Actor,My Cousin Rachel,TRUE
1952,New Star Of The Year - Actor,Pat and Mike,FALSE
1952,New Star Of The Year - Actor,Stars and Stripes Forever,FALSE
1952,Juvenile Performance,"Member of the Wedding, The",TRUE
1952,Juvenile Performance,Navajo,FALSE
1952,Juvenile Performance,My Pal Gus,FALSE
1952,Actress In A Leading Role - Musical Or Comedy,With a Song in My Heart,TRUE
1952,Actress In A Leading Role - Musical Or Comedy,Pat and Mike,FALSE
1952,Actress In A Leading Role - Musical Or Comedy,Monkey Business,FALSE
1952,Henrietta Award (World Film Favorites),,TRUE
1952,Henrietta Award (World Film Favorites),,TRUE
1952,Cinematography - Color,The Greatest Show On Earth,TRUE
1952,Cinematography - Black And White,High Noon,TRUE
1952,Cinematography - Black And White,"Four Poster, The",FALSE
1952,Cinematography - Black And White,The Thief,FALSE
1953,Best Motion Picture - Drama,"Robe, The",TRUE
1953,Best Performance by an Actress in a Motion Picture - Drama,Roman Holiday,TRUE
1953,Best Performance by an Actor in a Motion Picture - Drama,"Actress, The",TRUE
1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Moon Is Blue,TRUE
1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mogambo,TRUE
1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,From Here to Eternity,TRUE
1953,Best Director - Motion Picture,From Here to Eternity,TRUE
1953,Best Screenplay - Motion Picture,Lili,TRUE
1953,Cecil B. deMille Award,,FALSE
1953,Promoting International Understanding,Little Boy Lost,TRUE
1953,Special Achievement Award,"Living Desert, The",FALSE
1953,New Star Of The Year - Actress,Forever Female,TRUE
1953,New Star Of The Year - Actress,Money From Home,TRUE
1953,New Star Of The Year - Actress,"Egyptian, The",TRUE
1953,New Star Of The Year - Actress,Hell and High Water,TRUE
1953,New Star Of The Year - Actress,It Came From Outer Space,TRUE
1953,New Star Of The Year - Actress,Hell and High Water,FALSE
1953,New Star Of The Year - Actress,Money From Home,FALSE
1953,New Star Of The Year - Actor,"Glory Brigade, The",TRUE
1953,New Star Of The Year - Actor,"Kid From Left Field, The",TRUE
1953,New Star Of The Year - Actor,So Big,TRUE
1953,New Star Of The Year - Actor,"Man From The Alamo, The",TRUE
1953,New Star Of The Year - Actor,"Kid From Left Field, The",FALSE
1953,Actress In A Leading Role - Musical Or Comedy,Call Me Madam,TRUE
1953,Henrietta Award (World Film Favorites),,TRUE
1953,Henrietta Award (World Film Favorites),,TRUE
1953,Henrietta Award (World Film Favorites),,TRUE
1953,Documentary,"Queen Is Crowned, A",TRUE
1954,Best Motion Picture - Drama,On the Waterfront,TRUE
1954,Best Motion Picture - Musical or Comedy,Carmen Jones,TRUE
1954,Best Performance by an Actress in a Motion Picture - Drama,"Country Girl, The",TRUE
1954,Best Performance by an Actor in a Motion Picture - Drama,On the Waterfront,TRUE
1954,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Star is Born, A (1954)",TRUE
1954,Best Performance by an Actress in a Supporting Role in any Motion Picture,"High and The Mighty, The",TRUE
1954,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Barefoot Contessa, The",TRUE
1954,Best Director - Motion Picture,On the Waterfront,TRUE
1954,Best Screenplay - Motion Picture,Sabrina,TRUE
1954,Best Motion Picture - Foreign Language,"United Kingdom, Henry Cornelius",TRUE
1954,Best Motion Picture - Foreign Language,"Argentina, Ernesto Arancibia",TRUE
1954,Best Motion Picture - Foreign Language,"West Germany, Victor Vicas",TRUE
1954,Best Motion Picture - Foreign Language,"Japan, Keisuke Kinoshita",TRUE
1954,Cecil B. deMille Award,,FALSE
1954,Promoting International Understanding,Broken Lance,TRUE
1954,New Star Of The Year - Actress,"Trouble With Harry, The",TRUE
1954,New Star Of The Year - Actress,Phffft!,TRUE
1954,New Star Of The Year - Actress,"High and The Mighty, The",TRUE
1954,New Star Of The Year - Actor,Carmen Jones,TRUE
1954,New Star Of The Year - Actor,Four Guns to the Border,TRUE
1954,New Star Of The Year - Actor,Seven Brides for Seven Brothers,TRUE
1954,Actress In A Leading Role - Musical Or Comedy,"Star is Born, A (1954)",TRUE
1954,Henrietta Award (World Film Favorites),,TRUE
1954,Henrietta Award (World Film Favorites),,TRUE
1954,Henrietta Award (World Film Favorites),,FALSE
1954,Henrietta Award (World Film Favorites),,FALSE
1954,Henrietta Award (World Film Favorites),,FALSE
1954,Henrietta Award (World Film Favorites),,FALSE
1954,Henrietta Award (World Film Favorites),,FALSE
1954,Cinematography - Color,Brigadoon,TRUE
1954,Cinematography - Black And White,On the Waterfront,TRUE
1955,Best Motion Picture - Drama,East of Eden,TRUE
1955,Best Motion Picture - Musical or Comedy,Guys and Dolls,TRUE
1955,Best Performance by an Actress in a Motion Picture - Drama,"Rose Tattoo, The",TRUE
1955,Best Performance by an Actor in a Motion Picture - Drama,Marty,TRUE
1955,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Seven Year Itch, The",TRUE
1955,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Rose Tattoo, The",TRUE
1955,Best Performance by an Actor in a Supporting Role in any Motion Picture,Trial,TRUE
1955,Best Director - Motion Picture,Picnic,TRUE
1955,Best Motion Picture - Foreign Language,United Kingdom,TRUE
1955,Best Motion Picture - Foreign Language,"Japan, Yoshir? Kawazu",TRUE
1955,Best Motion Picture - Foreign Language,"West Germany, Laslo Benedek",TRUE
1955,Best Motion Picture - Foreign Language,"Greece, Michael Cacoyannis",TRUE
1955,Best Motion Picture - Foreign Language,"Denmark, Carl Theodor Dreyer",TRUE
1955,Cecil B. deMille Award,,FALSE
1955,Promoting International Understanding,Love Is A Many-Splendored Thing,TRUE
1955,Television Achievement,"American Comedy, The",TRUE
1955,Television Achievement,Walt Disney's Wonderful World of Color (Davy Crockett),TRUE
1955,Special Achievement Award,East of Eden,FALSE
1955,New Star Of The Year - Actress,Blood Alley,TRUE
1955,New Star Of The Year - Actress,"Eddy Duchin Story, The",TRUE
1955,New Star Of The Year - Actress,"View From Pompey's Head, The",TRUE
1955,New Star Of The Year - Actor,I'll Cry Tomorrow,TRUE
1955,New Star Of The Year - Actor,Hit The Deck,TRUE
1955,Actress In A Leading Role - Musical Or Comedy,Guys and Dolls,TRUE
1955,Henrietta Award (World Film Favorites),,TRUE
1955,Henrietta Award (World Film Favorites),,TRUE
1955,Hollywood Citizenship Award,,TRUE
1956,Best Motion Picture - Drama,Around the World in 80 Days,TRUE
1956,Best Motion Picture - Drama,Lust For Life,FALSE
1956,Best Motion Picture - Drama,"Rainmaker, The",FALSE
1956,Best Motion Picture - Drama,War and Peace,FALSE
1956,Best Motion Picture - Drama,Giant,FALSE
1956,Best Motion Picture - Musical or Comedy,"King and I, The",TRUE
1956,Best Motion Picture - Musical or Comedy,Bus Stop,FALSE
1956,Best Motion Picture - Musical or Comedy,"Opposite Sex, The",FALSE
1956,Best Motion Picture - Musical or Comedy,"Solid Gold Cadillac, The",FALSE
1956,Best Motion Picture - Musical or Comedy,"Teahouse of the August Moon, The",FALSE
1956,Best Performance by an Actress in a Motion Picture - Drama,Baby Doll,FALSE
1956,Best Performance by an Actress in a Motion Picture - Drama,Anastasia (1956),FALSE
1956,Best Performance by an Actress in a Motion Picture - Drama,Anastasia (1956),FALSE
1956,Best Performance by an Actress in a Motion Picture - Drama,War and Peace,FALSE
1956,Best Performance by an Actress in a Motion Picture - Drama,"Rainmaker, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Drama,Lust For Life,TRUE
1956,Best Performance by an Actor in a Motion Picture - Drama,Friendly Persuasion,FALSE
1956,Best Performance by an Actor in a Motion Picture - Drama,"Ten Commandments, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Drama,"Rainmaker, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Drama,Baby Doll,FALSE
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Around the World in 80 Days,TRUE
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Teahouse of the August Moon, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"King and I, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Teahouse of the August Moon, The",FALSE
1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Court Jester, The",FALSE
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Bad Seed, The",TRUE
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,Friendly Persuasion,FALSE
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,Written on the Wind,FALSE
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Bad Seed, The",FALSE
1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,Baby Doll,FALSE
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Rainmaker, The",TRUE
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Teahouse of the August Moon, The",FALSE
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,War and Peace,FALSE
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,Lust For Life,FALSE
1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,Baby Doll,FALSE
1956,Best Director - Motion Picture,Baby Doll,TRUE
1956,Best Director - Motion Picture,Around the World in 80 Days,FALSE
1956,Best Director - Motion Picture,Lust For Life,FALSE
1956,Best Director - Motion Picture,Giant,FALSE
1956,Best Director - Motion Picture,War and Peace,FALSE
1956,Cecil B. deMille Award,,FALSE
1956,Promoting International Understanding,Battle Hymn,TRUE
1956,Promoting International Understanding,"Brave One, The (1956)",FALSE
1956,Promoting International Understanding,Friendly Persuasion,FALSE
1956,Promoting International Understanding,"King and I, The",FALSE
1956,Promoting International Understanding,"Teahouse of the August Moon, The",FALSE
1956,Television Achievement,Cheyenne,TRUE
1956,Television Achievement,Matinee Theatre,TRUE
1956,Television Achievement,"Mickey Mouse Club, The",TRUE
1956,Television Achievement,Playhouse 90,TRUE
1956,Television Achievement,This Is Your Life,TRUE
1956,Special Achievement Award,,FALSE
1956,Special Achievement Award,,FALSE
1956,Special Achievement Award,,FALSE
1956,New Star Of The Year - Actress,Baby Doll,TRUE
1956,New Star Of The Year - Actress,Giant,TRUE
1956,New Star Of The Year - Actress,"Girl Can't Help It, The",TRUE
1956,New Star Of The Year - Actress,Rebel Without a Cause,TRUE
1956,New Star Of The Year - Actress,Giant,FALSE
1956,New Foreign Star Of The Year - Actress,,TRUE
1956,New Foreign Star Of The Year - Actor,,TRUE
1956,New Star Of The Year - Actor,Tea and Sympathy,TRUE
1956,New Star Of The Year - Actor,"Silver Chalice, The",TRUE
1956,New Star Of The Year - Actor,Friendly Persuasion,TRUE
1956,Actress In A Leading Role - Musical Or Comedy,"King and I, The",TRUE
1956,Actress In A Leading Role - Musical Or Comedy,"Solid Gold Cadillac, The",FALSE
1956,Actress In A Leading Role - Musical Or Comedy,"Teahouse of the August Moon, The",FALSE
1956,Actress In A Leading Role - Musical Or Comedy,Bus Stop,FALSE
1956,Actress In A Leading Role - Musical Or Comedy,Bundle of Joy,FALSE
1956,Foreign Film - Foreign Language,Before Sundown,TRUE
1956,Foreign Film - Foreign Language,A Girl In Black,TRUE
1956,Foreign Film - Foreign Language,The Rose On His Arm,TRUE
1956,Foreign Film - Foreign Language,War and Peace,TRUE
1956,Foreign Film - Foreign Language,The White Reindeer,TRUE
1956,Foreign Film - English Language,Richard III  (1955),TRUE
1956,Henrietta Award (World Film Favorites),,TRUE
1956,Henrietta Award (World Film Favorites),,TRUE
1956,Hollywood Citizenship Award,,TRUE
1957,Best Motion Picture - Drama,"Bridge on the River Kwai, The",TRUE
1957,Best Motion Picture - Drama,12 Angry Men (1957),FALSE
1957,Best Motion Picture - Drama,Wild is the Wind,FALSE
1957,Best Motion Picture - Drama,Witness for the Prosecution,FALSE
1957,Best Motion Picture - Drama,Sayonara,FALSE
1957,Best Motion Picture - Musical or Comedy,Les Girls,TRUE
1957,Best Motion Picture - Musical or Comedy,Don't Go Near The Water,FALSE
1957,Best Motion Picture - Musical or Comedy,Love in the Afternoon,FALSE
1957,Best Motion Picture - Musical or Comedy,Pal Joey,FALSE
1957,Best Motion Picture - Musical or Comedy,Silk Stockings,FALSE
1957,Best Performance by an Actress in a Motion Picture - Drama,"Three Faces of Eve, The",TRUE
1957,Best Performance by an Actress in a Motion Picture - Drama,Witness for the Prosecution,FALSE
1957,Best Performance by an Actress in a Motion Picture - Drama,"Heaven Knows, Mr. Allison",FALSE
1957,Best Performance by an Actress in a Motion Picture - Drama,Wild is the Wind,FALSE
1957,Best Performance by an Actress in a Motion Picture - Drama,"Hatful of Rain, A",FALSE
1957,Best Performance by an Actor in a Motion Picture - Drama,"Bridge on the River Kwai, The",TRUE
1957,Best Performance by an Actor in a Motion Picture - Drama,Sayonara,FALSE
1957,Best Performance by an Actor in a Motion Picture - Drama,12 Angry Men (1957),FALSE
1957,Best Performance by an Actor in a Motion Picture - Drama,"Hatful of Rain, A",FALSE
1957,Best Performance by an Actor in a Motion Picture - Drama,Witness for the Prosecution,FALSE
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Pal Joey,TRUE
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Don't Go Near The Water,FALSE
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,My Man Godfrey,FALSE
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Will Success Spoil Rock Hunter?,FALSE
1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Love in the Afternoon,FALSE
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,Witness for the Prosecution,TRUE
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,Peyton Place,FALSE
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,Peyton Place,FALSE
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Story of Esther Costello, The",FALSE
1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sayonara,FALSE
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sayonara,TRUE
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Bridge on the River Kwai, The",FALSE
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,Raintree County,FALSE
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Great Man, The",FALSE
1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,12 Angry Men (1957),FALSE
