id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0874314,1.9,23,0,0,1,2,2.3,14,1.3,6
tt0874425,5.2,674,5,1,4.9,156,5.1,339,5.8,138
tt0875003,6.3,38,0,0,6,7,6.2,27,0,0
tt0875008,5.9,28,0,0,7,5,5.4,19,7,3
tt0875025,7,211,0,0,7.2,79,6.8,92,6.8,26
tt0875034,5.8,13318,5.5,2,6,4935,5.8,6604,5.7,1336
tt0875113,7.3,2816,0,0,7.5,1069,7.2,1502,7,138
tt0875122,7.1,52,0,0,6.4,8,7.8,32,5.5,11
tt0875130,6.3,11,0,0,6.3,3,6.3,8,0,0
tt0875155,6.1,16,0,0,5.5,2,5.7,8,7.1,5
tt0875575,3.3,36,0,0,6.5,2,2.9,25,8.6,8
tt0875581,6.3,233,0,0,5.7,50,6.4,129,7.1,46
tt0875595,7.7,1472,0,0,7.7,564,7.8,732,7.1,96
tt0875608,10,17,0,0,10,3,10,12,2,2
tt0875609,7.2,377,8,3,7.2,248,7,88,7,22
tt0875613,2.4,77,0,0,2,16,2.5,32,3,23
tt0875701,6.8,36,0,0,6.1,12,7.5,15,6.9,9
tt0875705,6.4,186,0,0,6.3,25,6,59,6.6,96
tt0876159,5,140,0,0,4.7,63,5.2,59,5.1,14
tt0876233,6.2,753,0,0,6,188,6.2,424,6.8,113
tt0876291,2.6,18,0,0,6.2,9,2.1,8,0,0
tt0876294,4.1,456,4,1,3.6,77,4.1,275,4.8,99
tt0876563,7.8,26320,7.7,29,7.8,12220,7.8,11149,7.7,1333
tt0877323,6.3,19,0,0,7.5,2,5.9,11,6.6,6
tt0877347,5.9,16,0,0,0,0,5.9,13,6.3,3
tt0877349,6.9,199,0,0,7.1,50,6.8,121,7.3,21
tt0877354,5.9,19,0,0,5.6,7,6.2,11,7,1
tt0877355,4,32,0,0,4.6,5,4.2,19,4,6
tt0877522,5.1,528,4,1,5.2,258,5.1,220,4.2,28
tt0877621,6.5,66,0,0,6.5,5,6.5,35,6.5,26
tt0877651,6.7,39,0,0,7.6,12,6.2,18,5.1,6
tt0877657,5.7,16,0,0,0,0,6.7,14,4.5,2
tt0877700,5.4,186,0,0,5.3,47,5.1,117,6.3,18
tt0878113,3.5,166,3,2,3.6,87,3.3,69,5,1
tt0878135,6.9,57,0,0,7,6,6.9,46,6.7,3
tt0878649,3.9,20,0,0,0,0,4,13,3.8,7
tt0878654,5.4,273,0,0,6.7,94,5.6,116,4.5,62
tt0878657,3.6,159,0,0,3.5,17,3.6,93,3.9,42
tt0878674,7,282,0,0,7.1,35,6.8,145,7.2,93
