id,duration,country,director
tt0010162,65,USA,Allan Dwan
tt0010193,80,USA,D.W. Griffith
tt0010195,71,USA,Irvin Willat
tt0010208,80,Germany,Fritz Lang
tt0010219,57,USA,James Cruze
tt0010227,87,USA,"Joseph De Grasse, Sidney Franklin"
tt0010247,122,Sweden,Mauritz Stiller
tt0010267,78,USA,Sidney Franklin
tt0010281,45,Germany,Ernst Lubitsch
tt0010307,166,France,Abel Gance
tt0010323,76,Germany,Robert Wiene
tt0010418,116,USA,Cecil B. DeMille
tt0010456,58,Germany,Ernst Lubitsch
tt0010466,80,USA,George Loane Tucker
tt0010484,95,USA,D.W. Griffith
tt0010559,92,Germany,Otto Rippert
tt0010598,75,Denmark,Carl Theodor Dreyer
tt0010600,48,Germany,Ernst Lubitsch
tt0010635,58,USA,James Cruze
tt0010662,77,USA,D.W. Griffith
tt0010680,106,Australia,Raymond Longford
tt0010726,81,Germany,Fritz Lang
tt0010755,145,Sweden,Mauritz Stiller
tt0010806,87,USA,D.W. Griffith
tt0010821,112,Germany,Richard Oswald
tt0010844,62,USA,Maurice Tourneur
tt0010853,64,USA,Lambert Hillyer
tt0010879,85,USA,Victor Fleming
tt0010890,59,USA,Tod Browning
tt0010925,58,USA,F. Richard Jones
tt0010953,99,Germany,Hans Werckmeister
tt0010962,100,Germany,Ernst Lubitsch
tt0010969,136,"France, Belgium",Jacques Feyder
tt0011000,167,Denmark,Carl Theodor Dreyer
tt0011130,82,USA,John S. Robertson
tt0011131,40,USA,J. Charles Haydon
tt0011157,106,Sweden,Mauritz Stiller
tt0011173,93,Norway,Rasmus Breistein
tt0011193,88,USA,Alan Crosland
tt0011217,81,"Germany, Denmark",F.W. Murnau
tt0011221,88,Germany,Robert Wiene
tt0011237,91,Germany,"Carl Boese, Paul Wegener"
tt0011267,71,USA,Lawrence C. Windom
tt0011294,80,France,Andr矇 Antoine
tt0011302,86,France,Marcel L'Herbier
tt0011317,60,USA,Frank Borzage
tt0011358,50,USA,John Ford
tt0011369,70,Germany,Franz Osten
tt0011370,54,Sweden,Victor Sj繹str繹m
tt0011371,64,Germany,Ernst Lubitsch
tt0011387,73,USA,"Clarence Brown, Maurice Tourneur"
tt0011414,60,USA,David Kirkland
tt0011439,107,USA,Fred Niblo
tt0011440,107,Norway,Gunnar Sommerfeldt
tt0011474,86,USA,Victor Fleming
tt0011513,109,USA,David Hartford
tt0011565,90,USA,Wallace Worsley
tt0011588,58,USA,Paul Powell
tt0011607,71,Sweden,Carl Theodor Dreyer
tt0011641,45,Germany,Ernst Lubitsch
tt0011647,70,USA,George Melford
tt0011652,77,USA,"Herbert Blach矇, Winchell Smith"
tt0011679,87,USA,Fred Niblo
tt0011716,78,USA,Cecil B. DeMille
tt0011723,104,Germany,Fritz Lang
tt0011741,75,USA,John Francis Dillon
tt0011742,115,Germany,Ernst Lubitsch
tt0011753,55,USA,James Cruze
tt0011779,73,USA,Lambert Hillyer
tt0011833,65,Germany,Karl Heinz Martin
tt0011837,67,Germany,Fritz Lang
tt0011841,145,USA,D.W. Griffith
tt0011865,90,USA,Cecil B. DeMille
tt0011870,79,USA,Oscar Micheaux
tt0011904,75,USA,Wallace Worsley
tt0011909,117,USA,Cecil B. DeMille
tt0011948,55,USA,Max Linder
tt0011960,79,Germany,Ernst Lubitsch
tt0011979,91,USA,Lois Weber
tt0012016,70,USA,George D. Baker
tt0012027,72,USA,Ray C. Smallwood
tt0012068,89,USA,Rex Ingram
tt0012122,102,USA,D.W. Griffith
tt0012125,58,USA,Maurice Campbell
tt0012134,100,France,Marcel L'Herbier
tt0012136,90,USA,Robert G. Vignola
tt0012187,87,USA,Cecil B. DeMille
tt0012190,150,USA,Rex Ingram
tt0012249,131,Germany,"Svend Gade, Heinz Schall"
tt0012281,50,Germany,"Leopold Jessner, Paul Leni"
tt0012313,100,Germany,Joe May
tt0012314,120,Germany,Joe May
tt0012334,84,Sweden,Mauritz Stiller
tt0012349,68,USA,Charles Chaplin
tt0012364,100,Sweden,Victor Sj繹str繹m
tt0012382,56,USA,"James Cruze, Roscoe 'Fatty' Arbuckle"
tt0012397,112,USA,"Alfred E. Green, Jack Pickford"
tt0012408,89,USA,Frances Marion
tt0012465,71,USA,William C. de Mille
tt0012486,55,USA,"Albert Austin, Victor Heerman"
tt0012494,97,Germany,Fritz Lang
tt0012513,74,USA,Theodore Reed
tt0012532,150,USA,D.W. Griffith
tt0012538,75,USA,Tod Browning
tt0012631,91,Japan,Minoru Murata
tt0012642,47,USA,Fred C. Newmeyer
tt0012645,82,Germany,Dimitri Buchowetzki
tt0012650,50,Germany,Lupu Pick
tt0012651,75,Germany,F.W. Murnau
tt0012675,86,USA,George Melford
tt0012745,97,France,Andr矇 Antoine
tt0012752,119,USA,Fred Niblo
tt0012755,89,USA,"Alfred E. Green, Jack Pickford"
tt0012763,99,USA,Henry King
tt0012769,80,USA,Lois Weber
tt0012806,52,Germany,Fritz Lang
tt0012928,112,USA,Robert G. Vignola
tt0012938,80,USA,Sam Wood
tt0012952,80,USA,"Fred Niblo, Dorothy Arzner"
tt0012973,98,Germany,F.W. Murnau
tt0012975,70,USA,George Terwilliger
tt0013033,90,"France, Belgium",Jacques Feyder
tt0013059,75,Denmark,Carl Theodor Dreyer
tt0013075,60,USA,"Fred C. Newmeyer, Sam Taylor"
tt0013085,83,USA,Elmer Clifton
tt0013086,242,Germany,Fritz Lang
tt0013122,61,France,Louis Delluc
tt0013134,74,USA,Irving Cummings
tt0013140,117,USA,Erich von Stroheim
tt0013169,105,Germany,Carl Theodor Dreyer
tt0013201,60,USA,Fred C. Newmeyer
tt0013223,68,USA,Edward D. Venturini
tt0013332,70,USA,Maurice Tourneur
tt0013367,74,USA,Burton L. King
tt0013372,100,USA,Cecil B. DeMille
tt0013386,110,USA,"Rupert Julian, Erich von Stroheim"
tt0013402,100,USA,Emmett J. Flynn
tt0013404,68,USA,George Melford
tt0013428,128,Germany,Manfred Noa
tt0013442,94,Germany,F.W. Murnau
tt0013450,98,USA,Frank Lloyd
tt0013469,79,Germany,Dimitri Buchowetzki
tt0013496,125,Germany,F.W. Murnau
tt0013515,125,USA,Rex Ingram
tt0013556,143,USA,Allan Dwan
tt0013571,72,USA,"Charles Bryant, Alla Nazimova"
tt0013579,90,Germany,Arthur Robison
tt0013592,70,USA,Tom Forman
tt0013597,85,USA,Albert Parker
tt0013607,58,USA,Lynn Reynolds
tt0013619,150,"Germany, Austria",Michael Curtiz
tt0013626,54,France,Germaine Dulac
tt0013662,137,USA,John S. Robertson
tt0013674,58,USA,Max Linder
tt0013688,54,USA,Chester M. Franklin
tt0013704,60,USA,Robert Thornby
tt0013705,97,UK,Harry B. Parkinson
tt0013741,100,Germany,Ernst Lubitsch
tt0013750,120,USA,Robert G. Vignola
tt0013802,54,USA,Phil Rosen
tt0013830,128,Germany,Ewald Andr矇 Dupont
tt0013909,70,USA,John Ford
tt0013933,87,France,Jean Epstein
tt0013951,98,USA,James Cruze
tt0014029,68,USA,F. Richard Jones
tt0014108,101,Sweden,Mauritz Stiller
tt0014109,183,Sweden,Mauritz Stiller
tt0014112,84,USA,Harry Houdini
tt0014142,133,USA,Wallace Worsley
tt0014205,110,USA,Sidney Olcott
tt0014341,65,USA,"John G. Blystone, Buster Keaton"
tt0014358,47,USA,Charles Chaplin
tt0014397,135,Germany,Robert Wiene
tt0014416,90,USA,"Ernst Lubitsch, Raoul Walsh"
tt0014417,418,France,Abel Gance
tt0014429,74,USA,"Fred C. Newmeyer, Sam Taylor"
tt0014440,124,USA,Rex Ingram
tt0014446,80,Germany,Georg Wilhelm Pabst
tt0014463,96,USA,Lambert Hillyer
tt0014497,90,USA,Rupert Hughes
tt0014516,74,Germany,Karl Grune
tt0014524,66,Germany,Lupu Pick
tt0014532,136,USA,Cecil B. DeMille
tt0014538,63,USA,"Edward F. Cline, Buster Keaton"
tt0014586,65,Germany,"Leo Birinsky, Paul Leni"
tt0014604,100,USA,D.W. Griffith
tt0014605,143,USA,Henry King
tt0014606,86,USA,Tod Browning
tt0014611,63,USA,"Fred C. Newmeyer, Sam Taylor"
tt0014624,82,USA,Charles Chaplin
tt0014636,84,USA,Allan Dwan
tt0014646,111,Soviet Union,Yakov Protazanov
tt0014672,141,USA,D.W. Griffith
tt0014702,135,USA,Harry Beaumont
tt0014721,80,USA,Frank Lloyd
tt0014760,64,USA,Edward F. Cline
tt0014770,87,USA,Lewis H. Moomaw
tt0014854,135,USA,"Marshall Neilan, Mary Pickford"
tt0014869,70,USA,John S. Robertson
tt0014874,70,USA,William A. Seiter
tt0014898,71,France,Jean Renoir
tt0014900,80,Germany,F.W. Murnau
tt0014925,76,USA,Ernst Lubitsch
tt0014945,87,USA,"Fred C. Newmeyer, Sam Taylor"
tt0014972,95,USA,Victor Sj繹str繹m
tt0014982,70,USA,Sidney Franklin
tt0015002,60,USA,"Fred C. Newmeyer, Sam Taylor"
tt0015014,135,France,Marcel L'Herbier
tt0015016,150,USA,John Ford
tt0015018,115,USA,D.W. Griffith
tt0015022,153,USA,E. Mason Hopper
tt0015036,136,France,Alexandre Volkoff
tt0015064,77,Germany,F.W. Murnau
tt0015116,75,USA,Allan Dwan
tt0015119,85,USA,Ernst Lubitsch
tt0015136,93,Germany,Carl Theodor Dreyer
tt0015145,106,USA,Sidney Olcott
tt0015163,59,USA,"Donald Crisp, Buster Keaton"
tt0015167,94,Soviet Union,Lev Kuleshov
tt0015174,129,Germany,Fritz Lang
tt0015175,143,Germany,Fritz Lang
tt0015202,92,"Austria, Germany",Robert Wiene
tt0015213,78,Soviet Union,Yuri Zhelyabuzhsky
tt0015224,105,USA,Herbert Brenon
tt0015268,81,USA,Fred Niblo
tt0015289,106,USA,Henry King
tt0015310,123,USA,Frank Lloyd
tt0015312,108,USA,Frank Borzage
tt0015324,45,USA,Buster Keaton
tt0015361,82,Soviet Union,Sergei M. Eisenstein
tt0015400,155,USA,Raoul Walsh
tt0015493,82,UK,Graham Cutts
tt0015498,88,USA,King Vidor
tt0015500,72,USA,King Vidor
tt0015518,74,USA,Robert G. Vignola
tt0015532,81,Germany,"Lotte Reiniger, Carl Koch"
tt0015624,151,USA,"King Vidor, George W. Hill"
tt0015634,102,USA,Oscar Micheaux
tt0015643,71,USA,Alan Hale
tt0015648,75,Soviet Union,Sergei M. Eisenstein
tt0015684,71,USA,Frank Borzage
tt0015687,74,USA,Noel M. Smith
tt0015693,70,USA,Joseph Henabery
tt0015758,111,USA,Donald Crisp
tt0015768,111,Denmark,Carl Theodor Dreyer
tt0015772,73,USA,Clarence Brown
tt0015794,90,France,Ren矇 Clair
tt0015801,170,France,Marcel L'Herbier
tt0015841,77,USA,"Fred C. Newmeyer, Sam Taylor"
tt0015842,125,Germany,Georg Wilhelm Pabst
tt0015861,115,"Norway, Sweden",Carl Theodor Dreyer
tt0015863,69,USA,Buster Keaton
tt0015864,95,USA,Charles Chaplin
tt0015872,80,USA,Clarence Brown
tt0015881,140,USA,Erich von Stroheim
tt0015883,113,France,Jacques Feyder
tt0015909,70,USA,Sidney Franklin
tt0015935,65,Chile,Pedro Sienna
tt0016004,120,USA,Ernst Lubitsch
tt0016005,70,USA,Monta Bell
tt0016006,96,USA,Frank Borzage
tt0016013,80,USA,Frank Borzage
tt0016023,70,USA,Monta Bell
tt0016028,94,USA,William Beaudine
tt0016029,81,USA,David Butler
tt0016039,106,USA,Harry O. Hoyt
tt0016104,137,USA,Erich von Stroheim
tt0016123,86,USA,Roland West
tt0016185,74,Japan,Buntar繫 Futagara
tt0016201,70,USA,Louis J. Gasnier
tt0016205,78,USA,Clarence G. Badger
tt0016220,93,USA,"Rupert Julian, Lon Chaney"
tt0016226,73,USA,Wesley Ruggles
tt0016230,75,"UK, Germany",Alfred Hitchcock
tt0016232,108,France,Julien Duvivier
tt0016240,97,"India, Germany","Franz Osten, Himanshu Rai"
tt0016241,74,USA,Monta Bell
tt0016258,68,USA,Edward F. Cline
tt0016276,77,USA,"Walter Lang, Dorothy Davenport"
tt0016288,56,USA,Lynn Reynolds
tt0016294,107,USA,Cecil B. DeMille
tt0016308,104,USA,D.W. Griffith
tt0016309,58,USA,Edmund Goulding
tt0016310,70,USA,Josef von Sternberg
tt0016332,56,USA,Buster Keaton
tt0016338,98,"UK, Germany","Leander De Cordova, G.B. Samuelson"
tt0016377,88,USA,John S. Robertson
tt0016392,80,Austria,H.K. Breslauer
tt0016394,70,USA,Allan Dwan
tt0016395,110,USA,Henry King
tt0016461,78,USA,"King Baggot, William S. Hart"
tt0016473,86,USA,Tod Browning
tt0016480,110,USA,George B. Seitz
tt0016481,72,Germany,Ewald Andr矇 Dupont
tt0016491,114,"France, Switzerland",Jacques Feyder
tt0016493,80,France,Ren矇 Clair
tt0016544,81,USA,Larry Semon
tt0016545,68,USA,"George Chesebro, Bruce Mitchell"
tt0016548,70,USA,Malcolm St. Clair
tt0016559,65,Soviet Union,Yakov Protazanov
tt0016560,80,USA,George W. Hill
tt0016563,110,Germany,Arthur von Gerlach
tt0016627,90,USA,King Vidor
tt0016629,86,USA,Roland West
tt0016630,77,USA,Buster Keaton
tt0016634,101,USA,Herbert Brenon
tt0016640,68,USA,James Young
tt0016641,143,USA,"Fred Niblo, Charles Brabin"
tt0016643,95,USA,Charles Reisner
tt0016646,70,USA,Sidney Franklin
tt0016654,88,USA,Albert Parker
tt0016655,86,USA,Tod Browning
tt0016664,58,USA,John Ford
tt0016669,95,USA,King Vidor
tt0016672,64,USA,William A. Wellman
tt0016690,85,USA,Jack Conway
tt0016691,104,Norway,Rasmus Breistein
tt0016762,66,USA,Herbert Brenon
tt0016804,110,USA,Alan Crosland
tt0016822,75,USA,Alfred E. Green
tt0016827,75,USA,Paul Sloane
tt0016832,77,USA,Sam Taylor
tt0016847,107,Germany,F.W. Murnau
tt0016854,70,USA,Howard Hawks
tt0016871,70,USA,"Richard Rosson, Lewis Milestone"
tt0016884,112,USA,Clarence Brown
tt0016895,58,USA,Sam Taylor
tt0016914,97,Germany,Georg Wilhelm Pabst
tt0016939,53,USA,Lewis Seiler
tt0016947,60,USA,Clarence G. Badger
tt0016953,100,Germany,Arnold Fanck
tt0016971,48,USA,Harry Edwards
tt0017004,70,USA,A. Edward Sutherland
tt0017028,77,USA,Frank Tuttle
tt0017029,108,USA,Clarence Brown
tt0017048,70,Japan,Teinosuke Kinugasa
tt0017075,68,UK,Alfred Hitchcock
tt0017082,76,USA,Frank Tuttle
tt0017096,95,Italy,Guido Brignone
tt0017103,83,USA,Rex Ingram
tt0017119,86,USA,Victor Fleming
tt0017120,102,USA,Rex Ingram
tt0017128,89,Soviet Union,Vsevolod Pudovkin
tt0017136,153,Germany,Fritz Lang
tt0017159,250,Soviet Union,"Boris Barnet, Fyodor Otsep"
tt0017195,62,Soviet Union,Amo Bek-Nazaryan
tt0017196,150,France,Jean Renoir
tt0017198,80,UK,Herbert Wilcox
tt0017226,111,USA,James Cruze
tt0017271,80,Soviet Union,Lev Kuleshov
tt0017293,66,Soviet Union,Yakov Protazanov
tt0017329,70,USA,Tod Browning
