id,title,year,genre
tt0008950,Carmen,1918,Drama
tt0009014,La dixième symphonie,1918,Drama
tt0009062,Das fidele Gefängnis,1917,Comedy
tt0009086,The Forbidden City,1918,"Drama, Romance"
tt0009150,Hearts of the World,1918,"Drama, War"
tt0009241,Johanna Enlists,1918,"Comedy, Romance"
tt0009326,M'Liss,1918,"Comedy, Drama"
tt0009356,The Married Virgin,1918,Drama
tt0009369,Mickey,1918,"Comedy, Drama"
tt0009440,Old Wives for New,1918,Drama
tt0009475,A Pair of Silk Stockings,1918,"Comedy, Romance"
tt0009559,A Romance of Happy Valley,1919,"Drama, Romance"
tt0009608,Shifting Sands,1918,Drama
tt0009611,Shoulder Arms,1918,"Comedy, War"
tt0009652,Stella Maris,1918,Drama
tt0009682,Tarzan of the Apes,1918,"Action, Adventure"
tt0009701,Tih Minh,1918,"Adventure, Mystery"
tt0009796,The Whispering Chorus,1918,Drama
tt0009878,Anders als die Andern,1919,"Crime, Drama, History"
tt0009892,Ravished Armenia,1919,"Drama, History, Romance"
tt0009893,Die Austernprinzessin,1919,Comedy
tt0009894,El automóvil gris,1919,"Action, Crime"
tt0009900,Back to God's Country,1919,"Adventure, Romance"
tt0009915,Behind the Door,1919,"Drama, Thriller, War"
tt0009937,Blind Husbands,1919,"Drama, Romance"
tt0009968,Broken Blossoms or The Yellow Man and the Girl,1919,"Drama, Romance"
tt0009976,The Busher,1919,"Drama, Sport"
tt0010040,Daddy-Long-Legs,1919,"Comedy, Drama"
tt0010060,The Delicious Little Devil,1919,"Comedy, Drama"
tt0010071,Don't Change Your Husband,1919,Comedy
tt0010103,Eyes of Youth,1919,Drama
tt0010137,"For Better, for Worse",1919,Drama
tt0010162,Getting Mary Married,1919,Comedy
tt0010193,The Greatest Question,1919,Drama
tt0010195,The Grim Game,1919,"Adventure, Drama"
tt0010208,Harakiri,1919,Drama
tt0010219,Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance"
tt0010227,Heart o' the Hills,1919,"Drama, Romance"
tt0010247,Herr Arnes pengar,1919,"Drama, History"
tt0010267,The Hoodlum,1919,Comedy
tt0010281,Ich möchte kein Mann sein,1918,"Comedy, Romance"
tt0010307,J'accuse,1919,"Drama, Horror, War"
tt0010323,Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery"
tt0010418,Male and Female,1919,"Adventure, Drama"
tt0010456,Meyer aus Berlin,1919,Comedy
tt0010466,The Miracle Man,1919,Drama
tt0010484,The Mother and the Law,1919,Drama
tt0010559,Die Pest in Florenz,1919,"Drama, History, Horror"
tt0010598,Præsidenten,1919,Drama
tt0010600,Die Puppe,1919,"Comedy, Fantasy"
tt0010635,The Roaring Road,1919,"Comedy, Drama, Sport"
tt0010662,Scarlet Days,1919,"Adventure, Romance, Western"
tt0010680,The Sentimental Bloke,1919,"Drama, Romance"
tt0010726,"Die Spinnen, 1. Teil - Der Goldene See",1919,"Adventure, Western"
tt0010755,Sången om den eldröda blomman,1919,"Drama, Romance"
tt0010806,True Heart Susie,1919,"Comedy, Drama, Romance"
tt0010821,Unheimliche Geschichten,1919,"Fantasy, Horror, Mystery"
tt0010844,Victory,1919,"Drama, Romance"
tt0010853,Wagon Tracks,1919,Western
tt0010879,When the Clouds Roll by,1919,"Action, Comedy, Romance"
tt0010890,The Wicked Darling,1919,"Drama, Crime"
tt0010925,Yankee Doodle in Berlin,1919,Comedy
tt0010953,Algol - Tragödie der Macht,1920,"Fantasy, Sci-Fi"
tt0010962,Anna Boleyn,1920,Drama
tt0010969,L'Atlantide,1921,"Adventure, Fantasy, Mystery"
tt0011000,Blade af Satans bog,1920,Drama
tt0011130,Dr. Jekyll and Mr. Hyde,1920,"Drama, Horror, Sci-Fi"
tt0011131,Dr. Jekyll and Mr. Hyde,1920,"Drama, Horror, Sci-Fi"
