id,director
tt0011779,Lambert Hillyer
tt0011833,Karl Heinz Martin
tt0011837,Fritz Lang
tt0011841,D.W. Griffith
tt0011865,Cecil B. DeMille
tt0011870,Oscar Micheaux
tt0011904,Wallace Worsley
tt0011909,Cecil B. DeMille
tt0011948,Max Linder
tt0011960,Ernst Lubitsch
tt0011979,Lois Weber
tt0012016,George D. Baker
tt0012027,Ray C. Smallwood
tt0012068,Rex Ingram
tt0012122,D.W. Griffith
tt0012125,Maurice Campbell
tt0012134,Marcel L'Herbier
tt0012136,Robert G. Vignola
tt0012187,Cecil B. DeMille
tt0012190,Rex Ingram
tt0012249,Svend Gade
tt0012281,Leopold Jessner
tt0012313,Joe May
tt0012314,Joe May
tt0012334,Mauritz Stiller
tt0012349,Charles Chaplin
tt0012364,Victor Sjöström
tt0012382,James Cruze
tt0012397,Alfred E. Green
tt0012408,Frances Marion
tt0012465,William C. de Mille
tt0012486,Albert Austin
tt0012494,Fritz Lang
tt0012513,Theodore Reed
tt0012532,D.W. Griffith
tt0012538,Tod Browning
tt0012631,Minoru Murata
tt0012642,Fred C. Newmeyer
tt0012645,Dimitri Buchowetzki
tt0012650,Lupu Pick
tt0012651,F.W. Murnau
tt0012675,George Melford
tt0012745,André Antoine
tt0012752,Fred Niblo
tt0012755,Alfred E. Green
tt0012763,Henry King
tt0012769,Lois Weber
tt0012806,Fritz Lang
tt0012928,Robert G. Vignola
tt0012938,Sam Wood
tt0012952,Fred Niblo
tt0012973,F.W. Murnau
tt0012975,George Terwilliger
tt0013033,Jacques Feyder
tt0013059,Carl Theodor Dreyer
tt0013075,Fred C. Newmeyer
tt0013085,Elmer Clifton
tt0013086,Fritz Lang
tt0013122,Louis Delluc
tt0013134,Irving Cummings
tt0013140,Erich von Stroheim
tt0013169,Carl Theodor Dreyer
tt0013201,Fred C. Newmeyer
tt0013223,Edward D. Venturini
tt0013332,Maurice Tourneur
tt0013367,Burton L. King
tt0013372,Cecil B. DeMille
tt0013386,Rupert Julian
tt0013402,Emmett J. Flynn
tt0013404,George Melford
tt0013428,Manfred Noa
tt0013442,F.W. Murnau
tt0013450,Frank Lloyd
tt0013469,Dimitri Buchowetzki
tt0013496,F.W. Murnau
tt0013515,Rex Ingram
tt0013556,Allan Dwan
tt0013571,Charles Bryant
tt0013579,Arthur Robison
tt0013592,Tom Forman
tt0013597,Albert Parker
tt0013607,Lynn Reynolds
tt0013619,Michael Curtiz
tt0013626,Germaine Dulac
tt0013662,John S. Robertson
tt0013674,Max Linder
tt0013688,Chester M. Franklin
tt0013704,Robert Thornby
tt0013705,Harry B. Parkinson
tt0013741,Ernst Lubitsch
tt0013750,Robert G. Vignola
tt0013802,Phil Rosen
tt0013830,Ewald André Dupont
tt0013909,John Ford
tt0013933,Jean Epstein
tt0013951,James Cruze
tt0014029,F. Richard Jones
tt0014108,Mauritz Stiller
tt0014109,Mauritz Stiller
tt0014112,Harry Houdini
tt0014142,Wallace Worsley
tt0014205,Sidney Olcott
tt0014341,John G. Blystone
